description,industry,level,size,line_code,value,Unit,Footnotes
Importance of innovation a little important,total,0,619 employees,C020502,9564,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of innovation a little important,total,0,2049 employees,C020502,2106,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of innovation a little important,total,0,5099 employees,C020502,624,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of innovation a little important,total,0,100 employees,C020502,465,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of innovation a little important,Agriculture forestry  fishing,1,total,C020502,957,Number of businesses,1 and 2 and 3 and 6
Importance of innovation a little important,Agriculture,2,total,C020502,624,Number of businesses,1 and 2 and 3 and 6
Importance of innovation a little important,Commercial fishing,2,total,C020502,15,Number of businesses,1 and 2 and 3 and 6
Importance of innovation a little important,Forestry  logging,2,total,C020502,60,Number of businesses,1 and 2 and 3 and 6
Importance of innovation a little important,Agriculture forestry  fishing support services,2,total,C020502,258,Number of businesses,1 and 2 and 3 and 6
Importance of innovation a little important,Mining,1,total,C020502,33,Number of businesses,1 and 2 and 3 and 5 and 6
Importance of innovation a little important,Manufacturing,1,total,C020502,1266,Number of businesses,1 and 2 and 3 and 6
Importance of innovation a little important,Food beverage  tobacco,2,total,C020502,246,Number of businesses,1 and 2 and 3 and 6
Importance of innovation a little important,Textile clothing footwear  leather,2,total,C020502,60,Number of businesses,1 and 2 and 3 and 6
Importance of innovation a little important,Wood  paper product,2,total,C020502,222,Number of businesses,1 and 2 and 3 and 6
Importance of innovation a little important,Printing publishing  recorded media,2,total,C020502,48,Number of businesses,1 and 2 and 3 and 6
Importance of innovation a little important,Petroleum coal chemical  associated product,2,total,C020502,111,Number of businesses,1 and 2 and 3 and 6
Importance of innovation a little important,Nonmetallic mineral product,2,total,C020502,51,Number of businesses,1 and 2 and 3 and 6
Importance of innovation a little important,Metal product,2,total,C020502,261,Number of businesses,1 and 2 and 3 and 6
Importance of innovation a little important,Transport and industrial machinery  equipment,2,total,C020502,183,Number of businesses,1 and 2 and 3 and 6
Importance of innovation a little important,Other machinery  equipment,2,total,C020502,21,Number of businesses,1 and 2 and 3 and 6
Importance of innovation a little important,Other manufacturing,2,total,C020502,66,Number of businesses,1 and 2 and 3 and 6
Importance of innovation a little important,Electricity gas water  waste services,1,total,C020502,48,Number of businesses,1 and 2 and 3 and 5 and 6
Importance of innovation a little important,Construction,1,total,C020502,1890,Number of businesses,1 and 2 and 3 and 6
Importance of innovation a little important,Wholesale trade,1,total,C020502,765,Number of businesses,1 and 2 and 3 and 6
Importance of innovation a little important,Machinery  equipment wholesaling,2,total,C020502,204,Number of businesses,1 and 2 and 3 and 6
Importance of innovation a little important,Other wholesale trade,2,total,C020502,558,Number of businesses,1 and 2 and 3 and 6
Importance of innovation a little important,Retail trade,1,total,C020502,1302,Number of businesses,1 and 2 and 3 and 6
Importance of innovation a little important,Accommodation  food services,1,total,C020502,2385,Number of businesses,1 and 2 and 3 and 6
Importance of innovation a little important,Transport postal  warehousing,1,total,C020502,471,Number of businesses,1 and 2 and 3 and 6
Importance of innovation a little important,Information media  telecommunications,1,total,C020502,78,Number of businesses,1 and 2 and 3 and 6
Importance of innovation a little important,Publishing,2,total,C020502,27,Number of businesses,1 and 2 and 3 and 6
Importance of innovation a little important,Motion picture,2,total,C020502,36,Number of businesses,1 and 2 and 3 and 6
Importance of innovation a little important,Telecommunications,2,total,C020502,9,Number of businesses,1 and 2 and 3 and 6
Importance of innovation a little important,Financial  insurance services,1,total,C020502,147,Number of businesses,1 and 2 and 3 and 6
Importance of innovation a little important,Finance,2,total,C020502,48,Number of businesses,1 and 2 and 3 and 6
Importance of innovation a little important,Insurance,2,total,C020502,6,Number of businesses,1 and 2 and 3 and 6
Importance of innovation a little important,Auxiliary,2,total,C020502,93,Number of businesses,1 and 2 and 3 and 6
Importance of innovation a little important,Rental hiring  real estate services,1,total,C020502,231,Number of businesses,1 and 2 and 3 and 6
Importance of innovation a little important,Professional scientific  technical services,1,total,C020502,1353,Number of businesses,1 and 2 and 3 and 6
Importance of innovation a little important,Computer systems design,2,total,C020502,168,Number of businesses,1 and 2 and 3 and 6
Importance of innovation a little important,Other professional scientific,2,total,C020502,1188,Number of businesses,1 and 2 and 3 and 6
Importance of innovation a little important,Administrative  support services,1,total,C020502,408,Number of businesses,1 and 2 and 3 and 6
Importance of innovation a little important,Education  training,1,total,C020502,255,Number of businesses,1 and 2 and 3 and 6
Importance of innovation a little important,Health care  social assistance,1,total,C020502,702,Number of businesses,1 and 2 and 3 and 6
Importance of innovation a little important,Arts  recreation services,1,total,C020502,138,Number of businesses,1 and 2 and 3 and 6
Importance of innovation a little important,Other services,1,total,C020502,324,Number of businesses,1 and 2 and 3 and 6
Importance of innovation a little important,total,0,total,C020502,12759,Number of businesses,1 and 2 and 3 and 6
Importance of innovation moderately important,total,0,619 employees,C020503,12273,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of innovation moderately important,total,0,2049 employees,C020503,3267,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of innovation moderately important,total,0,5099 employees,C020503,951,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of innovation moderately important,total,0,100 employees,C020503,783,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of innovation moderately important,Agriculture forestry  fishing,1,total,C020503,1131,Number of businesses,1 and 2 and 3 and 6
Importance of innovation moderately important,Agriculture,2,total,C020503,744,Number of businesses,1 and 2 and 3 and 6
Importance of innovation moderately important,Commercial fishing,2,total,C020503,12,Number of businesses,1 and 2 and 3 and 6
Importance of innovation moderately important,Forestry  logging,2,total,C020503,90,Number of businesses,1 and 2 and 3 and 6
Importance of innovation moderately important,Agriculture forestry  fishing support services,2,total,C020503,288,Number of businesses,1 and 2 and 3 and 6
Importance of innovation moderately important,Mining,1,total,C020503,36,Number of businesses,1 and 2 and 3 and 5 and 6
Importance of innovation moderately important,Manufacturing,1,total,C020503,2049,Number of businesses,1 and 2 and 3 and 6
Importance of innovation moderately important,Food beverage  tobacco,2,total,C020503,504,Number of businesses,1 and 2 and 3 and 6
Importance of innovation moderately important,Textile clothing footwear  leather,2,total,C020503,87,Number of businesses,1 and 2 and 3 and 6
Importance of innovation moderately important,Wood  paper product,2,total,C020503,183,Number of businesses,1 and 2 and 3 and 6
Importance of innovation moderately important,Printing publishing  recorded media,2,total,C020503,93,Number of businesses,1 and 2 and 3 and 6
Importance of innovation moderately important,Petroleum coal chemical  associated product,2,total,C020503,174,Number of businesses,1 and 2 and 3 and 6
Importance of innovation moderately important,Nonmetallic mineral product,2,total,C020503,81,Number of businesses,1 and 2 and 3 and 6
Importance of innovation moderately important,Metal product,2,total,C020503,330,Number of businesses,1 and 2 and 3 and 6
Importance of innovation moderately important,Transport and industrial machinery  equipment,2,total,C020503,351,Number of businesses,1 and 2 and 3 and 6
Importance of innovation moderately important,Other machinery  equipment,2,total,C020503,72,Number of businesses,1 and 2 and 3 and 6
Importance of innovation moderately important,Other manufacturing,2,total,C020503,171,Number of businesses,1 and 2 and 3 and 6
Importance of innovation moderately important,Electricity gas water  waste services,1,total,C020503,78,Number of businesses,1 and 2 and 3 and 5 and 6
Importance of innovation moderately important,Construction,1,total,C020503,2727,Number of businesses,1 and 2 and 3 and 6
Importance of innovation moderately important,Wholesale trade,1,total,C020503,1296,Number of businesses,1 and 2 and 3 and 6
Importance of innovation moderately important,Machinery  equipment wholesaling,2,total,C020503,363,Number of businesses,1 and 2 and 3 and 6
Importance of innovation moderately important,Other wholesale trade,2,total,C020503,933,Number of businesses,1 and 2 and 3 and 6
Importance of innovation moderately important,Retail trade,1,total,C020503,2052,Number of businesses,1 and 2 and 3 and 6
Importance of innovation moderately important,Accommodation  food services,1,total,C020503,1683,Number of businesses,1 and 2 and 3 and 6
Importance of innovation moderately important,Transport postal  warehousing,1,total,C020503,597,Number of businesses,1 and 2 and 3 and 6
Importance of innovation moderately important,Information media  telecommunications,1,total,C020503,135,Number of businesses,1 and 2 and 3 and 6
Importance of innovation moderately important,Publishing,2,total,C020503,51,Number of businesses,1 and 2 and 3 and 6
Importance of innovation moderately important,Motion picture,2,total,C020503,48,Number of businesses,1 and 2 and 3 and 6
Importance of innovation moderately important,Telecommunications,2,total,C020503,36,Number of businesses,1 and 2 and 3 and 6
Importance of innovation moderately important,Financial  insurance services,1,total,C020503,264,Number of businesses,1 and 2 and 3 and 6
Importance of innovation moderately important,Finance,2,total,C020503,75,Number of businesses,1 and 2 and 3 and 6
Importance of innovation moderately important,Insurance,2,total,C020503,15,Number of businesses,1 and 2 and 3 and 6
Importance of innovation moderately important,Auxiliary,2,total,C020503,174,Number of businesses,1 and 2 and 3 and 6
Importance of innovation moderately important,Rental hiring  real estate services,1,total,C020503,330,Number of businesses,1 and 2 and 3 and 6
Importance of innovation moderately important,Professional scientific  technical services,1,total,C020503,2013,Number of businesses,1 and 2 and 3 and 6
Importance of innovation moderately important,Computer systems design,2,total,C020503,306,Number of businesses,1 and 2 and 3 and 6
Importance of innovation moderately important,Other professional scientific,2,total,C020503,1710,Number of businesses,1 and 2 and 3 and 6
Importance of innovation moderately important,Administrative  support services,1,total,C020503,576,Number of businesses,1 and 2 and 3 and 6
Importance of innovation moderately important,Education  training,1,total,C020503,453,Number of businesses,1 and 2 and 3 and 6
Importance of innovation moderately important,Health care  social assistance,1,total,C020503,1116,Number of businesses,1 and 2 and 3 and 6
Importance of innovation moderately important,Arts  recreation services,1,total,C020503,252,Number of businesses,1 and 2 and 3 and 6
Importance of innovation moderately important,Other services,1,total,C020503,474,Number of businesses,1 and 2 and 3 and 6
Importance of innovation moderately important,total,0,total,C020503,17274,Number of businesses,1 and 2 and 3 and 6
Importance of innovation very important,total,0,619 employees,C020504,8895,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of innovation very important,total,0,2049 employees,C020504,2610,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of innovation very important,total,0,5099 employees,C020504,780,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of innovation very important,total,0,100 employees,C020504,702,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of innovation very important,Agriculture forestry  fishing,1,total,C020504,792,Number of businesses,1 and 2 and 3 and 6
Importance of innovation very important,Agriculture,2,total,C020504,513,Number of businesses,1 and 2 and 3 and 6
Importance of innovation very important,Commercial fishing,2,total,C020504,15,Number of businesses,1 and 2 and 3 and 6
Importance of innovation very important,Forestry  logging,2,total,C020504,54,Number of businesses,1 and 2 and 3 and 6
Importance of innovation very important,Agriculture forestry  fishing support services,2,total,C020504,210,Number of businesses,1 and 2 and 3 and 6
Importance of innovation very important,Mining,1,total,C020504,24,Number of businesses,1 and 2 and 3 and 5 and 6
Importance of innovation very important,Manufacturing,1,total,C020504,1722,Number of businesses,1 and 2 and 3 and 6
Importance of innovation very important,Food beverage  tobacco,2,total,C020504,396,Number of businesses,1 and 2 and 3 and 6
Importance of innovation very important,Textile clothing footwear  leather,2,total,C020504,75,Number of businesses,1 and 2 and 3 and 6
Importance of innovation very important,Wood  paper product,2,total,C020504,90,Number of businesses,1 and 2 and 3 and 6
Importance of innovation very important,Printing publishing  recorded media,2,total,C020504,45,Number of businesses,1 and 2 and 3 and 6
Importance of innovation very important,Petroleum coal chemical  associated product,2,total,C020504,144,Number of businesses,1 and 2 and 3 and 6
Importance of innovation very important,Nonmetallic mineral product,2,total,C020504,66,Number of businesses,1 and 2 and 3 and 6
Importance of innovation very important,Metal product,2,total,C020504,321,Number of businesses,1 and 2 and 3 and 6
Importance of innovation very important,Transport and industrial machinery  equipment,2,total,C020504,333,Number of businesses,1 and 2 and 3 and 6
Importance of innovation very important,Other machinery  equipment,2,total,C020504,135,Number of businesses,1 and 2 and 3 and 6
Importance of innovation very important,Other manufacturing,2,total,C020504,114,Number of businesses,1 and 2 and 3 and 6
Importance of innovation very important,Electricity gas water  waste services,1,total,C020504,54,Number of businesses,1 and 2 and 3 and 5 and 6
Importance of innovation very important,Construction,1,total,C020504,1884,Number of businesses,1 and 2 and 3 and 6
Importance of innovation very important,Wholesale trade,1,total,C020504,933,Number of businesses,1 and 2 and 3 and 6
Importance of innovation very important,Machinery  equipment wholesaling,2,total,C020504,345,Number of businesses,1 and 2 and 3 and 6
Importance of innovation very important,Other wholesale trade,2,total,C020504,588,Number of businesses,1 and 2 and 3 and 6
Importance of innovation very important,Retail trade,1,total,C020504,1356,Number of businesses,1 and 2 and 3 and 6
Importance of innovation very important,Accommodation  food services,1,total,C020504,1545,Number of businesses,1 and 2 and 3 and 6
Importance of innovation very important,Transport postal  warehousing,1,total,C020504,327,Number of businesses,1 and 2 and 3 and 6
Importance of innovation very important,Information media  telecommunications,1,total,C020504,225,Number of businesses,1 and 2 and 3 and 6
Importance of innovation very important,Publishing,2,total,C020504,105,Number of businesses,1 and 2 and 3 and 6
Importance of innovation very important,Motion picture,2,total,C020504,48,Number of businesses,1 and 2 and 3 and 6
Importance of innovation very important,Telecommunications,2,total,C020504,69,Number of businesses,1 and 2 and 3 and 6
Importance of innovation very important,Financial  insurance services,1,total,C020504,201,Number of businesses,1 and 2 and 3 and 6
Importance of innovation very important,Finance,2,total,C020504,51,Number of businesses,1 and 2 and 3 and 6
Importance of innovation very important,Insurance,2,total,C020504,12,Number of businesses,1 and 2 and 3 and 6
Importance of innovation very important,Auxiliary,2,total,C020504,141,Number of businesses,1 and 2 and 3 and 6
Importance of innovation very important,Rental hiring  real estate services,1,total,C020504,264,Number of businesses,1 and 2 and 3 and 6
Importance of innovation very important,Professional scientific  technical services,1,total,C020504,1518,Number of businesses,1 and 2 and 3 and 6
Importance of innovation very important,Computer systems design,2,total,C020504,462,Number of businesses,1 and 2 and 3 and 6
Importance of innovation very important,Other professional scientific,2,total,C020504,1059,Number of businesses,1 and 2 and 3 and 6
Importance of innovation very important,Administrative  support services,1,total,C020504,591,Number of businesses,1 and 2 and 3 and 6
Importance of innovation very important,Education  training,1,total,C020504,306,Number of businesses,1 and 2 and 3 and 6
Importance of innovation very important,Health care  social assistance,1,total,C020504,801,Number of businesses,1 and 2 and 3 and 6
Importance of innovation very important,Arts  recreation services,1,total,C020504,129,Number of businesses,1 and 2 and 3 and 6
Importance of innovation very important,Other services,1,total,C020504,312,Number of businesses,1 and 2 and 3 and 6
Importance of innovation very important,total,0,total,C020504,12987,Number of businesses,1 and 2 and 3 and 6
Importance of innovation dont know,total,0,619 employees,C020505,2508,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of innovation dont know,total,0,2049 employees,C020505,297,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of innovation dont know,total,0,5099 employees,C020505,72,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of innovation dont know,total,0,100 employees,C020505,57,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of innovation dont know,Agriculture forestry  fishing,1,total,C020505,432,Number of businesses,1 and 2 and 3 and 6
Importance of innovation dont know,Agriculture,2,total,C020505,285,Number of businesses,1 and 2 and 3 and 6
Importance of innovation dont know,Commercial fishing,2,total,C020505,6,Number of businesses,1 and 2 and 3 and 6
Importance of innovation dont know,Forestry  logging,2,total,C020505,24,Number of businesses,1 and 2 and 3 and 6
Importance of innovation dont know,Agriculture forestry  fishing support services,2,total,C020505,117,Number of businesses,1 and 2 and 3 and 6
Importance of innovation dont know,Mining,1,total,C020505,9,Number of businesses,1 and 2 and 3 and 5 and 6
Importance of innovation dont know,Manufacturing,1,total,C020505,216,Number of businesses,1 and 2 and 3 and 6
Importance of innovation dont know,Food beverage  tobacco,2,total,C020505,72,Number of businesses,1 and 2 and 3 and 6
Importance of innovation dont know,Textile clothing footwear  leather,2,total,C020505,15,Number of businesses,1 and 2 and 3 and 6
Importance of innovation dont know,Wood  paper product,2,total,C020505,0,Number of businesses,1 and 2 and 3 and 6
Importance of innovation dont know,Printing publishing  recorded media,2,total,C020505,6,Number of businesses,1 and 2 and 3 and 6
Importance of innovation dont know,Petroleum coal chemical  associated product,2,total,C020505,21,Number of businesses,1 and 2 and 3 and 6
Importance of innovation dont know,Nonmetallic mineral product,2,total,C020505,6,Number of businesses,1 and 2 and 3 and 6
Importance of innovation dont know,Metal product,2,total,C020505,45,Number of businesses,1 and 2 and 3 and 6
Importance of innovation dont know,Transport and industrial machinery  equipment,2,total,C020505,27,Number of businesses,1 and 2 and 3 and 6
Importance of innovation dont know,Other machinery  equipment,2,total,C020505,12,Number of businesses,1 and 2 and 3 and 6
Importance of innovation dont know,Other manufacturing,2,total,C020505,12,Number of businesses,1 and 2 and 3 and 6
Importance of innovation dont know,Electricity gas water  waste services,1,total,C020505,12,Number of businesses,1 and 2 and 3 and 5 and 6
Importance of innovation dont know,Construction,1,total,C020505,555,Number of businesses,1 and 2 and 3 and 6
Importance of innovation dont know,Wholesale trade,1,total,C020505,84,Number of businesses,1 and 2 and 3 and 6
Importance of innovation dont know,Machinery  equipment wholesaling,2,total,C020505,3,Number of businesses,1 and 2 and 3 and 6
Importance of innovation dont know,Other wholesale trade,2,total,C020505,81,Number of businesses,1 and 2 and 3 and 6
Importance of innovation dont know,Retail trade,1,total,C020505,123,Number of businesses,1 and 2 and 3 and 6
Importance of innovation dont know,Accommodation  food services,1,total,C020505,462,Number of businesses,1 and 2 and 3 and 6
Importance of innovation dont know,Transport postal  warehousing,1,total,C020505,126,Number of businesses,1 and 2 and 3 and 6
Importance of innovation dont know,Information media  telecommunications,1,total,C020505,15,Number of businesses,1 and 2 and 3 and 6
Importance of innovation dont know,Publishing,2,total,C020505,3,Number of businesses,1 and 2 and 3 and 6
Importance of innovation dont know,Motion picture,2,total,C020505,3,Number of businesses,1 and 2 and 3 and 6
Importance of innovation dont know,Telecommunications,2,total,C020505,6,Number of businesses,1 and 2 and 3 and 6
Importance of innovation dont know,Financial  insurance services,1,total,C020505,24,Number of businesses,1 and 2 and 3 and 6
Importance of innovation dont know,Finance,2,total,C020505,15,Number of businesses,1 and 2 and 3 and 6
Importance of innovation dont know,Insurance,2,total,C020505,0,Number of businesses,1 and 2 and 3 and 6
Importance of innovation dont know,Auxiliary,2,total,C020505,9,Number of businesses,1 and 2 and 3 and 6
Importance of innovation dont know,Rental hiring  real estate services,1,total,C020505,96,Number of businesses,1 and 2 and 3 and 6
Importance of innovation dont know,Professional scientific  technical services,1,total,C020505,228,Number of businesses,1 and 2 and 3 and 6
Importance of innovation dont know,Computer systems design,2,total,C020505,39,Number of businesses,1 and 2 and 3 and 6
Importance of innovation dont know,Other professional scientific,2,total,C020505,192,Number of businesses,1 and 2 and 3 and 6
Importance of innovation dont know,Administrative  support services,1,total,C020505,96,Number of businesses,1 and 2 and 3 and 6
Importance of innovation dont know,Education  training,1,total,C020505,69,Number of businesses,1 and 2 and 3 and 6
Importance of innovation dont know,Health care  social assistance,1,total,C020505,177,Number of businesses,1 and 2 and 3 and 6
Importance of innovation dont know,Arts  recreation services,1,total,C020505,27,Number of businesses,1 and 2 and 3 and 6
Importance of innovation dont know,Other services,1,total,C020505,180,Number of businesses,1 and 2 and 3 and 6
Importance of innovation dont know,total,0,total,C020505,2937,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives not important,total,0,619 employees,C020601,4983,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of social objectives not important,total,0,2049 employees,C020601,915,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of social objectives not important,total,0,5099 employees,C020601,228,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of social objectives not important,total,0,100 employees,C020601,108,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of social objectives not important,Agriculture forestry  fishing,1,total,C020601,573,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives not important,Agriculture,2,total,C020601,378,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives not important,Commercial fishing,2,total,C020601,6,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives not important,Forestry  logging,2,total,C020601,36,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives not important,Agriculture forestry  fishing support services,2,total,C020601,153,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives not important,Mining,1,total,C020601,18,Number of businesses,1 and 2 and 3 and 5 and 6
Importance of social objectives not important,Manufacturing,1,total,C020601,828,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives not important,Food beverage  tobacco,2,total,C020601,63,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives not important,Textile clothing footwear  leather,2,total,C020601,42,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives not important,Wood  paper product,2,total,C020601,156,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives not important,Printing publishing  recorded media,2,total,C020601,24,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives not important,Petroleum coal chemical  associated product,2,total,C020601,75,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives not important,Nonmetallic mineral product,2,total,C020601,24,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives not important,Metal product,2,total,C020601,189,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives not important,Transport and industrial machinery  equipment,2,total,C020601,165,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives not important,Other machinery  equipment,2,total,C020601,24,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives not important,Other manufacturing,2,total,C020601,63,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives not important,Electricity gas water  waste services,1,total,C020601,15,Number of businesses,1 and 2 and 3 and 5 and 6
Importance of social objectives not important,Construction,1,total,C020601,978,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives not important,Wholesale trade,1,total,C020601,561,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives not important,Machinery  equipment wholesaling,2,total,C020601,171,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives not important,Other wholesale trade,2,total,C020601,387,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives not important,Retail trade,1,total,C020601,465,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives not important,Accommodation  food services,1,total,C020601,912,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives not important,Transport postal  warehousing,1,total,C020601,366,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives not important,Information media  telecommunications,1,total,C020601,33,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives not important,Publishing,2,total,C020601,12,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives not important,Motion picture,2,total,C020601,6,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives not important,Telecommunications,2,total,C020601,12,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives not important,Financial  insurance services,1,total,C020601,102,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives not important,Finance,2,total,C020601,36,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives not important,Insurance,2,total,C020601,3,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives not important,Auxiliary,2,total,C020601,66,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives not important,Rental hiring  real estate services,1,total,C020601,180,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives not important,Professional scientific  technical services,1,total,C020601,591,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives not important,Computer systems design,2,total,C020601,231,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives not important,Other professional scientific,2,total,C020601,363,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives not important,Administrative  support services,1,total,C020601,276,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives not important,Education  training,1,total,C020601,60,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives not important,Health care  social assistance,1,total,C020601,132,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives not important,Arts  recreation services,1,total,C020601,24,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives not important,Other services,1,total,C020601,123,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives not important,total,0,total,C020601,6234,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives a little important,total,0,619 employees,C020602,10683,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of social objectives a little important,total,0,2049 employees,C020602,2619,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of social objectives a little important,total,0,5099 employees,C020602,750,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of social objectives a little important,total,0,100 employees,C020602,471,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of social objectives a little important,Agriculture forestry  fishing,1,total,C020602,807,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives a little important,Agriculture,2,total,C020602,489,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives a little important,Commercial fishing,2,total,C020602,12,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives a little important,Forestry  logging,2,total,C020602,69,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives a little important,Agriculture forestry  fishing support services,2,total,C020602,237,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives a little important,Mining,1,total,C020602,24,Number of businesses,1 and 2 and 3 and 5 and 6
Importance of social objectives a little important,Manufacturing,1,total,C020602,1806,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives a little important,Food beverage  tobacco,2,total,C020602,384,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives a little important,Textile clothing footwear  leather,2,total,C020602,75,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives a little important,Wood  paper product,2,total,C020602,180,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives a little important,Printing publishing  recorded media,2,total,C020602,66,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives a little important,Petroleum coal chemical  associated product,2,total,C020602,150,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives a little important,Nonmetallic mineral product,2,total,C020602,87,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives a little important,Metal product,2,total,C020602,294,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives a little important,Transport and industrial machinery  equipment,2,total,C020602,360,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives a little important,Other machinery  equipment,2,total,C020602,87,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives a little important,Other manufacturing,2,total,C020602,120,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives a little important,Electricity gas water  waste services,1,total,C020602,51,Number of businesses,1 and 2 and 3 and 5 and 6
Importance of social objectives a little important,Construction,1,total,C020602,2313,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives a little important,Wholesale trade,1,total,C020602,1077,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives a little important,Machinery  equipment wholesaling,2,total,C020602,357,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives a little important,Other wholesale trade,2,total,C020602,720,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives a little important,Retail trade,1,total,C020602,1299,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives a little important,Accommodation  food services,1,total,C020602,2280,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives a little important,Transport postal  warehousing,1,total,C020602,489,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives a little important,Information media  telecommunications,1,total,C020602,126,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives a little important,Publishing,2,total,C020602,66,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives a little important,Motion picture,2,total,C020602,30,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives a little important,Telecommunications,2,total,C020602,27,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives a little important,Financial  insurance services,1,total,C020602,198,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives a little important,Finance,2,total,C020602,51,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives a little important,Insurance,2,total,C020602,9,Number of businesses,1 and 2 and 3 and 6
Importance of social objectives a little important,Auxiliary,2,total,C020602,141,Number of businesses,1 and 2 and 3 and 6
